A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,Class
0.36,0.45,0.47,0.37,0.33,0.4,0.42,0.31,0.33,0.4,0.4,0.33,0.4,0.49,0.52,0.4,0.36,0.44,0.46,0.33,0.33,0.4,0.41,0.32,0.4,0.49,0.53,0.41,0.35,0.47,0.5,0.39,0.33,0.42,0.44,C
0.33,0.4,0.42,0.31,0.33,0.4,0.4,0.33,0.31,0.4,0.4,0.31,0.36,0.44,0.46,0.33,0.33,0.4,0.41,0.32,0.33,0.39,0.41,0.31,0.35,0.47,0.5,0.39,0.33,0.42,0.44,0.34,0.33,0.39,0.41,C
0.33,0.4,0.4,0.33,0.31,0.4,0.4,0.31,0.33,0.37,0.4,0.31,0.33,0.4,0.41,0.32,0.33,0.39,0.41,0.31,0.33,0.39,0.41,0.32,0.33,0.42,0.44,0.34,0.33,0.39,0.41,0.31,0.33,0.39,0.41,C
0.31,0.4,0.4,0.31,0.33,0.37,0.4,0.31,0.31,0.37,0.38,0.3,0.33,0.39,0.41,0.31,0.33,0.39,0.41,0.32,0.3,0.39,0.41,0.32,0.33,0.39,0.41,0.31,0.33,0.39,0.41,0.31,0.33,0.4,0.41,C
0.33,0.37,0.4,0.31,0.31,0.37,0.38,0.3,0.31,0.4,0.4,0.31,0.33,0.39,0.41,0.32,0.3,0.39,0.41,0.32,0.3,0.39,0.42,0.33,0.33,0.39,0.41,0.31,0.33,0.4,0.41,0.31,0.31,0.42,0.43,C
0.31,0.37,0.38,0.3,0.31,0.4,0.4,0.31,0.3,0.4,0.4,0.31,0.3,0.39,0.41,0.32,0.3,0.39,0.42,0.33,0.3,0.4,0.46,0.35,0.33,0.4,0.41,0.31,0.31,0.42,0.43,0.34,0.31,0.42,0.43,C
0.3,0.4,0.42,0.33,0.3,0.4,0.42,0.34,0.31,0.38,0.42,0.31,0.31,0.42,0.46,0.35,0.31,0.44,0.46,0.35,0.31,0.42,0.44,0.33,0.31,0.42,0.44,0.34,0.31,0.4,0.41,0.33,0.31,0.4,0.41,C
0.3,0.4,0.42,0.34,0.31,0.38,0.42,0.31,0.3,0.37,0.4,0.3,0.31,0.44,0.46,0.35,0.31,0.42,0.44,0.33,0.31,0.37,0.39,0.31,0.31,0.4,0.41,0.33,0.31,0.4,0.41,0.31,0.31,0.37,0.39,C
0.3,0.35,0.38,0.3,0.3,0.37,0.38,0.3,0.3,0.38,0.4,0.28,0.31,0.37,0.41,0.29,0.3,0.36,0.41,0.29,0.3,0.37,0.39,0.31,0.29,0.36,0.38,0.29,0.29,0.36,0.38,0.28,0.31,0.34,0.36,D
0.3,0.37,0.38,0.3,0.3,0.38,0.4,0.28,0.3,0.37,0.35,0.3,0.3,0.36,0.41,0.29,0.3,0.37,0.39,0.31,0.3,0.36,0.39,0.29,0.29,0.36,0.38,0.28,0.31,0.34,0.36,0.28,0.31,0.34,0.36,D
0.3,0.38,0.4,0.28,0.3,0.37,0.35,0.3,0.3,0.35,0.37,0.3,0.3,0.37,0.39,0.31,0.3,0.36,0.39,0.29,0.3,0.34,0.39,0.29,0.31,0.34,0.36,0.28,0.31,0.34,0.36,0.26,0.29,0.34,0.38,D
